token,afinn_score,vader_score
Why you can trust the BBC,0.16666666666666666,0.5106
GB's Ujah suspended after positive test,0.16666666666666666,0.128
'We never knew how dangerous Loch Lomond was',-0.25,0.3724
 2021 BBC. The BBC is not responsible for the content of external sites. ,0.15384615384615385,-0.2411
"Woman arrested in murder probe after boy, 2, dies",-0.5555555555555556,-0.8316
Russia millionaire kills man he 'mistook for bear',-0.375,-0.5423
Casualty's 10 most memorable episodes,-0.2,0.0
PM calls emergency meeting to discuss Afghanistan,-0.2857142857142857,-0.3818
"One mystery, four suspects, many lies",-0.16666666666666666,-0.6369
"Composer, DJ and bandleader: The women redefining the sound of UK jazz",0.0,0.0
